title,district,district_code,total_price,unit_price,house_info,follow_info,url,community
华景新城 3室2厅 102平米,天河区,天河,755.4,73816,3室2厅 102平米 东南 精装 低楼层 共13层 2001年建,37人关注 14天前发布,https://example.com/house_26,华景新城
新港西路 3室1厅 80平米,海珠区,海珠,527.0,65857,3室1厅 80平米 南北 简装 中楼层 共11层 1995年建,27人关注 10天前发布,https://example.com/house_27,新港西路
龙津路小区 1室1厅 38平米,荔湾区,荔湾,148.9,39130,1室1厅 38平米 南北 精装 中楼层 共8层 2008年建,3人关注 54天前发布,https://example.com/house_28,龙津路小区
体育西路小区 3室2厅 96平米,天河区,天河,548.5,57035,3室2厅 96平米 南北 简装 中楼层 共15层 2014年建,26人关注 38天前发布,https://example.com/house_29,体育西路小区
康王路 3室1厅 118平米,荔湾区,荔湾,482.0,40871,3室1厅 118平米 西南 豪装 中楼层 共17层 2005年建,19人关注 24天前发布,https://example.com/house_30,康王路
龙口西小区 3室1厅 104平米,天河区,天河,640.3,61330,3室1厅 104平米 西 豪装 高楼层 共9层 2016年建,38人关注 1天前发布,https://example.com/house_31,龙口西小区
龙口西小区 2室1厅 89平米,天河区,天河,460.0,51548,2室1厅 89平米 南 精装 低楼层 共19层 2012年建,31人关注 45天前发布,https://example.com/house_32,龙口西小区
南村花园 3室1厅 113平米,番禺区,番禺,415.2,36684,3室1厅 113平米 南 精装 低楼层 共13层 1988年建,23人关注 27天前发布,https://example.com/house_33,南村花园
南村花园 2室1厅 62平米,番禺区,番禺,185.9,30220,2室1厅 62平米 南 简装 中楼层 共19层 2019年建,8人关注 3天前发布,https://example.com/house_34,南村花园
萝岗花园 4室2厅 142平米,黄埔区,黄埔,694.8,48823,4室2厅 142平米 南 精装 中楼层 共25层 2020年建,30人关注 20天前发布,https://example.com/house_35,萝岗花园
烈士陵园 3室1厅 124平米,越秀区,越秀,887.3,71368,3室1厅 124平米 南 简装 低楼层 共10层 1985年建,40人关注 41天前发布,https://example.com/house_36,烈士陵园
员村山顶 3室2厅 145平米,天河区,天河,1007.4,69263,3室2厅 145平米 北 豪装 低楼层 共12层 2014年建,57人关注 112天前发布,https://example.com/house_37,员村山顶
新市花园 3室1厅 97平米,白云区,白云,311.6,32175,3室1厅 97平米 东 精装 低楼层 共24层 2007年建,13人关注 41天前发布,https://example.com/house_38,新市花园
江南大道 2室1厅 78平米,海珠区,海珠,467.9,59900,2室1厅 78平米 东南 毛坯 高楼层 共13层 2011年建,26人关注 32天前发布,https://example.com/house_39,江南大道
员村山顶 2室1厅 64平米,天河区,天河,369.3,57499,2室1厅 64平米 南北 精装 高楼层 共20层 2010年建,22人关注 25天前发布,https://example.com/house_40,员村山顶
新港西路 3室1厅 92平米,海珠区,海珠,412.2,44632,3室1厅 92平米 南北 精装 中楼层 共14层 2008年建,24人关注 20天前发布,https://example.com/house_41,新港西路
天河北雅居 5室1厅 137平米,天河区,天河,1184.2,86321,5室1厅 137平米 南北 豪装 低楼层 共22层 2009年建,65人关注 44天前发布,https://example.com/house_42,天河北雅居
南村花园 3室1厅 89平米,番禺区,番禺,264.3,29796,3室1厅 89平米 西 豪装 高楼层 共22层 2000年建,15人关注 36天前发布,https://example.com/house_43,南村花园
黄花岗花园 2室1厅 82平米,越秀区,越秀,511.9,62479,2室1厅 82平米 东 精装 高楼层 共7层 2002年建,26人关注 8天前发布,https://example.com/house_44,黄花岗花园
嘉禾花园 4室1厅 149平米,白云区,白云,514.1,34421,4室1厅 149平米 东南 豪装 低楼层 共23层 2006年建,35人关注 34天前发布,https://example.com/house_45,嘉禾花园
淘金家园 3室1厅 112平米,越秀区,越秀,599.8,53336,3室1厅 112平米 东 豪装 低楼层 共14层 2016年建,20人关注 12天前发布,https://example.com/house_46,淘金家园
华海大厦 3室1厅 95平米,海珠区,海珠,512.0,53756,3室1厅 95平米 东南 精装 低楼层 共20层 2013年建,29人关注 107天前发布,https://example.com/house_47,华海大厦
花地大道 3室1厅 151平米,荔湾区,荔湾,669.1,44204,3室1厅 151平米 东 简装 中楼层 共6层 2006年建,35人关注 9天前发布,https://example.com/house_48,花地大道
珠江新城花园 2室1厅 59平米,天河区,天河,373.5,63735,2室1厅 59平米 西 精装 高楼层 共10层 1997年建,18人关注 11天前发布,https://example.com/house_49,珠江新城花园
石基花园 2室1厅 92平米,番禺区,番禺,250.7,27272,2室1厅 92平米 南北 豪装 中楼层 共14层 2010年建,18人关注 5天前发布,https://example.com/house_50,石基花园
太和花园 3室1厅 92平米,白云区,白云,340.1,37146,3室1厅 92平米 西北 精装 中楼层 共22层 2014年建,18人关注 23天前发布,https://example.com/house_51,太和花园
化龙花园 2室1厅 68平米,番禺区,番禺,223.0,32935,2室1厅 68平米 东 精装 中楼层 共18层 2012年建,8人关注 61天前发布,https://example.com/house_52,化龙花园
港湾花园 2室1厅 73平米,黄埔区,黄埔,296.7,40510,2室1厅 73平米 东北 精装 中楼层 共25层 2017年建,12人关注 18天前发布,https://example.com/house_53,港湾花园
西关大屋 3室1厅 125平米,荔湾区,荔湾,709.9,57019,3室1厅 125平米 南北 豪装 高楼层 共19层 1999年建,34人关注 24天前发布,https://example.com/house_54,西关大屋
东涌花园 4室1厅 102平米,番禺区,番禺,255.1,25121,4室1厅 102平米 东 毛坯 低楼层 共14层 2000年建,11人关注 19天前发布,https://example.com/house_55,东涌花园
员村山顶 3室1厅 73平米,天河区,天河,641.1,88136,3室1厅 73平米 南北 简装 低楼层 共17层 2023年建,20人关注 42天前发布,https://example.com/house_56,员村山顶
体育西路小区 4室1厅 124平米,天河区,天河,1063.3,85445,4室1厅 124平米 南 豪装 低楼层 共10层 2010年建,55人关注 38天前发布,https://example.com/house_57,体育西路小区
华景新城 3室1厅 110平米,天河区,天河,759.8,68811,3室1厅 110平米 南北 精装 低楼层 共20层 2012年建,40人关注 50天前发布,https://example.com/house_58,华景新城
建设六马路 2室1厅 48平米,越秀区,越秀,274.4,56799,2室1厅 48平米 南北 简装 高楼层 共8层 2001年建,13人关注 10天前发布,https://example.com/house_59,建设六马路
客村花园 4室1厅 138平米,海珠区,海珠,701.7,50953,4室1厅 138平米 北 简装 高楼层 共15层 1998年建,40人关注 1天前发布,https://example.com/house_60,客村花园
署前路小区 2室1厅 56平米,越秀区,越秀,292.9,52654,2室1厅 56平米 南 简装 中楼层 共20层 1992年建,16人关注 185天前发布,https://example.com/house_61,署前路小区
南岗花园 3室1厅 112平米,黄埔区,黄埔,504.3,44854,3室1厅 112平米 北 精装 中楼层 共28层 2009年建,25人关注 8天前发布,https://example.com/house_62,南岗花园
赤岗花园 3室1厅 111平米,海珠区,海珠,490.4,44025,3室1厅 111平米 南北 毛坯 中楼层 共9层 2008年建,20人关注 29天前发布,https://example.com/house_63,赤岗花园
黄花岗花园 4室1厅 145平米,越秀区,越秀,849.0,58432,4室1厅 145平米 南 豪装 中楼层 共17层 2002年建,46人关注 65天前发布,https://example.com/house_64,黄花岗花园
龙津路小区 2室1厅 73平米,荔湾区,荔湾,417.3,57046,2室1厅 73平米 东南 豪装 高楼层 共12层 2006年建,22人关注 18天前发布,https://example.com/house_65,龙津路小区
体育西路小区 3室1厅 156平米,天河区,天河,1067.8,68477,3室1厅 156平米 南北 豪装 中楼层 共23层 2003年建,52人关注 0天前发布,https://example.com/house_66,体育西路小区
开发区花园 4室1厅 128平米,黄埔区,黄埔,645.0,50229,4室1厅 128平米 南北 精装 高楼层 共25层 2003年建,38人关注 5天前发布,https://example.com/house_67,开发区花园
珠江新城花园 2室1厅 92平米,天河区,天河,620.4,67690,2室1厅 92平米 东南 豪装 高楼层 共19层 2005年建,33人关注 105天前发布,https://example.com/house_68,珠江新城花园
榄核花园 2室1厅 66平米,番禺区,番禺,181.4,27440,2室1厅 66平米 北 简装 高楼层 共20层 2008年建,13人关注 69天前发布,https://example.com/house_69,榄核花园
机场路花园 3室1厅 101平米,白云区,白云,339.4,33595,3室1厅 101平米 北 毛坯 低楼层 共33层 2013年建,18人关注 35天前发布,https://example.com/house_70,机场路花园
体育西路小区 3室1厅 132平米,天河区,天河,790.7,59940,3室1厅 132平米 东 简装 中楼层 共20层 2007年建,38人关注 19天前发布,https://example.com/house_71,体育西路小区
华景新城 2室1厅 91平米,天河区,天河,432.0,47549,2室1厅 91平米 西南 简装 高楼层 共21层 2017年建,24人关注 86天前发布,https://example.com/house_72,华景新城
萝岗花园 5室1厅 117平米,黄埔区,黄埔,546.5,46788,5室1厅 117平米 南 简装 高楼层 共23层 2011年建,22人关注 9天前发布,https://example.com/house_73,萝岗花园
嘉禾花园 3室1厅 89平米,白云区,白云,357.3,40246,3室1厅 89平米 南北 精装 高楼层 共27层 2000年建,12人关注 61天前发布,https://example.com/house_74,嘉禾花园
永泰花园 1室1厅 34平米,白云区,白云,90.4,26565,1室1厅 34平米 南北 精装 中楼层 共31层 2013年建,4人关注 2天前发布,https://example.com/house_75,永泰花园
机场路花园 3室1厅 144平米,白云区,白云,662.5,46056,3室1厅 144平米 东 简装 中楼层 共24层 2015年建,38人关注 3天前发布,https://example.com/house_76,机场路花园
石牌村 2室1厅 62平米,天河区,天河,438.2,70910,2室1厅 62平米 东南 简装 高楼层 共15层 2008年建,26人关注 0天前发布,https://example.com/house_77,石牌村
南洲花园 2室1厅 58平米,海珠区,海珠,285.3,48768,2室1厅 58平米 南 简装 高楼层 共17层 2007年建,16人关注 1天前发布,https://example.com/house_78,南洲花园
石牌村 3室1厅 90平米,天河区,天河,564.7,62461,3室1厅 90平米 南北 精装 低楼层 共10层 2014年建,37人关注 30天前发布,https://example.com/house_79,石牌村
大沙地 5室1厅 146平米,黄埔区,黄埔,568.5,38909,5室1厅 146平米 南北 简装 低楼层 共25层 2015年建,34人关注 47天前发布,https://example.com/house_80,大沙地
陈家祠花园 2室1厅 51平米,荔湾区,荔湾,232.3,45366,2室1厅 51平米 北 简装 中楼层 共12层 2002年建,12人关注 0天前发布,https://example.com/house_81,陈家祠花园
署前路小区 2室1厅 76平米,越秀区,越秀,323.3,42779,2室1厅 76平米 东 精装 低楼层 共20层 2014年建,6人关注 16天前发布,https://example.com/house_82,署前路小区
体育西路小区 3室1厅 74平米,天河区,天河,431.0,57958,3室1厅 74平米 东 精装 低楼层 共20层 2004年建,22人关注 4天前发布,https://example.com/house_83,体育西路小区
署前路小区 2室1厅 79平米,越秀区,越秀,491.0,62414,2室1厅 79平米 西南 精装 低楼层 共17层 2010年建,21人关注 21天前发布,https://example.com/house_84,署前路小区
二沙岛花园 3室1厅 102平米,越秀区,越秀,467.2,45789,3室1厅 102平米 南 精装 低楼层 共7层 1996年建,29人关注 9天前发布,https://example.com/house_85,二沙岛花园
京溪花园 3室1厅 94平米,白云区,白云,365.1,38791,3室1厅 94平米 东南 精装 高楼层 共22层 2002年建,12人关注 18天前发布,https://example.com/house_86,京溪花园
西关大屋 2室1厅 86平米,荔湾区,荔湾,450.1,52210,2室1厅 86平米 南 毛坯 中楼层 共19层 2010年建,18人关注 81天前发布,https://example.com/house_87,西关大屋
黄埔花园 2室1厅 74平米,黄埔区,黄埔,325.7,43897,2室1厅 74平米 南北 精装 低楼层 共27层 2005年建,25人关注 4天前发布,https://example.com/house_88,黄埔花园
瑞宝花园 3室1厅 122平米,海珠区,海珠,657.8,53880,3室1厅 122平米 东南 豪装 高楼层 共23层 2007年建,35人关注 10天前发布,https://example.com/house_89,瑞宝花园
员村山顶 4室2厅 130平米,天河区,天河,1101.8,85005,4室2厅 130平米 东南 豪装 中楼层 共23层 1999年建,65人关注 25天前发布,https://example.com/house_90,员村山顶
京溪花园 3室1厅 102平米,白云区,白云,353.1,34647,3室1厅 102平米 北 精装 高楼层 共33层 2006年建,25人关注 29天前发布,https://example.com/house_91,京溪花园
石井花园 3室1厅 110平米,白云区,白云,368.0,33365,3室1厅 110平米 东北 精装 中楼层 共33层 2005年建,16人关注 19天前发布,https://example.com/house_92,石井花园
陈家祠花园 3室1厅 107平米,荔湾区,荔湾,433.4,40442,3室1厅 107平米 南北 精装 高楼层 共10层 1995年建,25人关注 13天前发布,https://example.com/house_93,陈家祠花园
永泰花园 1室1厅 35平米,白云区,白云,97.4,27718,1室1厅 35平米 南 简装 中楼层 共22层 2004年建,7人关注 48天前发布,https://example.com/house_94,永泰花园
宝岗大道 2室1厅 57平米,海珠区,海珠,309.3,54392,2室1厅 57平米 西北 精装 中楼层 共13层 2009年建,11人关注 96天前发布,https://example.com/house_95,宝岗大道
华海大厦 3室1厅 115平米,海珠区,海珠,574.3,49743,3室1厅 115平米 西南 精装 高楼层 共13层 2002年建,31人关注 32天前发布,https://example.com/house_96,华海大厦
工业大道 2室1厅 64平米,海珠区,海珠,267.5,41920,2室1厅 64平米 东南 简装 中楼层 共6层 2002年建,14人关注 187天前发布,https://example.com/house_97,工业大道
天河北雅居 3室1厅 114平米,天河区,天河,737.4,64680,3室1厅 114平米 南 简装 低楼层 共21层 2005年建,36人关注 65天前发布,https://example.com/house_98,天河北雅居
棠下小区 3室2厅 88平米,天河区,天河,453.2,51675,3室2厅 88平米 南北 豪装 低楼层 共24层 2018年建,23人关注 7天前发布,https://example.com/house_99,棠下小区
石牌村 3室2厅 116平米,天河区,天河,655.3,56530,3室2厅 116平米 南 精装 中楼层 共18层 2010年建,27人关注 1天前发布,https://example.com/house_100,石牌村
龙津路小区 5室1厅 159平米,荔湾区,荔湾,621.5,39055,5室1厅 159平米 东 豪装 高楼层 共15层 2011年建,22人关注 10天前发布,https://example.com/house_101,龙津路小区
大新路小区 3室2厅 82平米,越秀区,越秀,391.6,47562,3室2厅 82平米 南北 豪装 高楼层 共11层 2016年建,15人关注 28天前发布,https://example.com/house_102,大新路小区
工业大道 2室1厅 78平米,海珠区,海珠,402.6,51493,2室1厅 78平米 东南 豪装 中楼层 共21层 2015年建,21人关注 16天前发布,https://example.com/house_103,工业大道
市桥花园 3室1厅 109平米,番禺区,番禺,439.5,40456,3室1厅 109平米 西 简装 高楼层 共23层 2007年建,27人关注 3天前发布,https://example.com/house_104,市桥花园
东山口花园 2室1厅 89平米,越秀区,越秀,417.0,46751,2室1厅 89平米 南 精装 低楼层 共6层 2016年建,23人关注 43天前发布,https://example.com/house_105,东山口花园
滨江东花园 4室1厅 144平米,海珠区,海珠,747.2,52037,4室1厅 144平米 南 精装 中楼层 共14层 1997年建,23人关注 5天前发布,https://example.com/house_106,滨江东花园
嘉禾花园 2室1厅 54平米,白云区,白云,190.5,35459,2室1厅 54平米 东南 豪装 中楼层 共24层 2008年建,10人关注 16天前发布,https://example.com/house_107,嘉禾花园
大新路小区 3室1厅 94平米,越秀区,越秀,563.3,59926,3室1厅 94平米 东南 精装 中楼层 共11层 1999年建,25人关注 4天前发布,https://example.com/house_108,大新路小区
猎德花园 3室1厅 118平米,天河区,天河,761.2,64757,3室1厅 118平米 南 精装 高楼层 共24层 2002年建,40人关注 62天前发布,https://example.com/house_109,猎德花园
烈士陵园 3室1厅 88平米,越秀区,越秀,566.6,64752,3室1厅 88平米 南北 精装 高楼层 共16层 2004年建,35人关注 72天前发布,https://example.com/house_110,烈士陵园
猎德花园 3室2厅 142平米,天河区,天河,1276.1,89654,3室2厅 142平米 南北 精装 中楼层 共23层 2013年建,50人关注 7天前发布,https://example.com/house_111,猎德花园
大石花园 2室1厅 61平米,番禺区,番禺,185.2,30604,2室1厅 61平米 南 精装 中楼层 共12层 1999年建,11人关注 120天前发布,https://example.com/house_112,大石花园
萝岗花园 3室1厅 119平米,黄埔区,黄埔,483.1,40565,3室1厅 119平米 南北 精装 低楼层 共31层 2014年建,26人关注 67天前发布,https://example.com/house_113,萝岗花园
龙津路小区 3室2厅 98平米,荔湾区,荔湾,452.4,46229,3室2厅 98平米 南 精装 中楼层 共7层 1990年建,22人关注 0天前发布,https://example.com/house_114,龙津路小区
黄埔花园 4室2厅 106平米,黄埔区,黄埔,359.7,33972,4室2厅 106平米 南 毛坯 中楼层 共27层 2004年建,12人关注 32天前发布,https://example.com/house_115,黄埔花园
夏园花园 2室1厅 83平米,黄埔区,黄埔,381.9,46287,2室1厅 83平米 南 精装 高楼层 共27层 2022年建,12人关注 2天前发布,https://example.com/house_116,夏园花园
猎德花园 2室1厅 89平米,天河区,天河,460.0,51891,2室1厅 89平米 南 精装 高楼层 共22层 2013年建,22人关注 124天前发布,https://example.com/house_117,猎德花园
港湾花园 2室1厅 96平米,黄埔区,黄埔,487.1,50726,2室1厅 96平米 东 精装 中楼层 共20层 2022年建,26人关注 11天前发布,https://example.com/house_118,港湾花园
芳村花园 2室1厅 71平米,荔湾区,荔湾,271.6,38424,2室1厅 71平米 东南 简装 高楼层 共21层 1999年建,20人关注 55天前发布,https://example.com/house_119,芳村花园
南岗花园 3室1厅 118平米,黄埔区,黄埔,617.4,52282,3室1厅 118平米 东 豪装 低楼层 共32层 2017年建,36人关注 29天前发布,https://example.com/house_120,南岗花园
文冲花园 2室1厅 49平米,黄埔区,黄埔,153.3,31097,2室1厅 49平米 南北 简装 高楼层 共20层 2015年建,8人关注 4天前发布,https://example.com/house_121,文冲花园
广州大道花园 5室2厅 206平米,越秀区,越秀,1110.8,53850,5室2厅 206平米 东南 豪装 中楼层 共18层 2018年建,53人关注 9天前发布,https://example.com/house_122,广州大道花园
员村山顶 2室1厅 69平米,天河区,天河,240.8,34666,2室1厅 69平米 南北 精装 中楼层 共18层 2006年建,14人关注 125天前发布,https://example.com/house_123,员村山顶
烈士陵园 3室2厅 104平米,越秀区,越秀,563.6,54168,3室2厅 104平米 东南 豪装 中楼层 共6层 1990年建,25人关注 7天前发布,https://example.com/house_124,烈士陵园
华海大厦 3室1厅 151平米,海珠区,海珠,934.0,61806,3室1厅 151平米 东南 精装 低楼层 共7层 2006年建,45人关注 9天前发布,https://example.com/house_125,华海大厦
大沙地 3室2厅 94平米,黄埔区,黄埔,314.6,33360,3室2厅 94平米 南 豪装 高楼层 共20层 2018年建,15人关注 35天前发布,https://example.com/house_126,大沙地
夏园花园 3室1厅 65平米,黄埔区,黄埔,253.2,38830,3室1厅 65平米 南北 豪装 中楼层 共31层 2014年建,9人关注 22天前发布,https://example.com/house_127,夏园花园
石牌村 5室2厅 179平米,天河区,天河,1552.6,86728,5室2厅 179平米 南北 精装 高楼层 共6层 2007年建,78人关注 78天前发布,https://example.com/house_128,石牌村
工业大道 3室1厅 93平米,海珠区,海珠,376.4,40551,3室1厅 93平米 东南 简装 低楼层 共7层 1988年建,24人关注 50天前发布,https://example.com/house_129,工业大道
宝岗大道 1室1厅 39平米,海珠区,海珠,151.0,38991,1室1厅 39平米 南 精装 中楼层 共7层 2003年建,6人关注 11天前发布,https://example.com/house_130,宝岗大道
环市东花园 2室1厅 92平米,越秀区,越秀,544.2,58934,2室1厅 92平米 南北 简装 中楼层 共24层 1990年建,27人关注 52天前发布,https://example.com/house_131,环市东花园
石牌村 2室1厅 83平米,天河区,天河,553.4,66818,2室1厅 83平米 东 精装 低楼层 共9层 1997年建,20人关注 21天前发布,https://example.com/house_132,石牌村
署前路小区 3室1厅 124平米,越秀区,越秀,821.8,66487,3室1厅 124平米 南北 豪装 中楼层 共18层 2005年建,39人关注 35天前发布,https://example.com/house_133,署前路小区
大岗花园 3室1厅 87平米,番禺区,番禺,273.0,31204,3室1厅 87平米 南北 精装 高楼层 共9层 2016年建,13人关注 11天前发布,https://example.com/house_134,大岗花园
黄花岗花园 3室2厅 120平米,越秀区,越秀,758.3,62993,3室2厅 120平米 南北 简装 低楼层 共14层 2012年建,44人关注 18天前发布,https://example.com/house_135,黄花岗花园
江南大道 3室2厅 93平米,海珠区,海珠,425.4,45700,3室2厅 93平米 南 精装 高楼层 共10层 2005年建,19人关注 21天前发布,https://example.com/house_136,江南大道
黄石路 4室2厅 93平米,白云区,白云,276.2,29734,4室2厅 93平米 东南 精装 低楼层 共20层 2010年建,16人关注 2天前发布,https://example.com/house_137,黄石路
赤岗花园 3室1厅 118平米,海珠区,海珠,613.1,52040,3室1厅 118平米 南 精装 高楼层 共20层 1998年建,30人关注 14天前发布,https://example.com/house_138,赤岗花园
化龙花园 4室2厅 116平米,番禺区,番禺,438.8,37732,4室2厅 116平米 南 豪装 中楼层 共13层 2001年建,23人关注 58天前发布,https://example.com/house_139,化龙花园
洛溪花园 3室1厅 125平米,番禺区,番禺,360.3,28811,3室1厅 125平米 南北 简装 低楼层 共19层 2008年建,14人关注 49天前发布,https://example.com/house_140,洛溪花园
淘金家园 4室1厅 114平米,越秀区,越秀,526.7,46022,4室1厅 114平米 南 精装 低楼层 共24层 2007年建,33人关注 8天前发布,https://example.com/house_141,淘金家园
宝岗大道 3室2厅 105平米,海珠区,海珠,578.8,55385,3室2厅 105平米 南北 简装 中楼层 共16层 2006年建,27人关注 32天前发布,https://example.com/house_142,宝岗大道
烈士陵园 3室1厅 121平米,越秀区,越秀,691.7,57200,3室1厅 121平米 南北 精装 高楼层 共11层 1992年建,33人关注 2天前发布,https://example.com/house_143,烈士陵园
建设六马路 4室1厅 194平米,越秀区,越秀,1083.8,55919,4室1厅 194平米 西南 精装 高楼层 共16层 2003年建,52人关注 35天前发布,https://example.com/house_144,建设六马路
珠江新城花园 4室1厅 134平米,天河区,天河,855.5,63979,4室1厅 134平米 西 豪装 低楼层 共19层 2022年建,38人关注 14天前发布,https://example.com/house_145,珠江新城花园
黄沙大道 5室1厅 221平米,荔湾区,荔湾,1233.9,55860,5室1厅 221平米 西北 豪装 中楼层 共20层 2013年建,66人关注 37天前发布,https://example.com/house_146,黄沙大道
赤岗花园 2室1厅 48平米,海珠区,海珠,248.7,51805,2室1厅 48平米 东 精装 中楼层 共9层 2012年建,9人关注 74天前发布,https://example.com/house_147,赤岗花园
龙口西小区 2室1厅 81平米,天河区,天河,495.7,60952,2室1厅 81平米 东 精装 中楼层 共22层 2002年建,23人关注 2天前发布,https://example.com/house_148,龙口西小区
东山口花园 3室2厅 98平米,越秀区,越秀,500.1,50930,3室2厅 98平米 东 精装 高楼层 共14层 2011年建,37人关注 16天前发布,https://example.com/house_149,东山口花园
洛溪花园 3室1厅 86平米,番禺区,番禺,356.8,41442,3室1厅 86平米 西南 精装 中楼层 共12层 2009年建,16人关注 46天前发布,https://example.com/house_150,洛溪花园
广州大道花园 3室1厅 108平米,越秀区,越秀,617.6,57169,3室1厅 108平米 南 精装 低楼层 共22层 1999年建,30人关注 28天前发布,https://example.com/house_151,广州大道花园
龙口西小区 3室2厅 99平米,天河区,天河,683.0,69241,3室2厅 99平米 东北 豪装 高楼层 共19层 1998年建,27人关注 17天前发布,https://example.com/house_152,龙口西小区
宝岗大道 3室2厅 101平米,海珠区,海珠,488.7,48284,3室2厅 101平米 东 简装 中楼层 共7层 2001年建,23人关注 0天前发布,https://example.com/house_153,宝岗大道
市桥花园 3室1厅 98平米,番禺区,番禺,267.2,27163,3室1厅 98平米 南北 精装 低楼层 共10层 2008年建,14人关注 97天前发布,https://example.com/house_154,市桥花园
大新路小区 3室1厅 137平米,越秀区,越秀,774.7,56685,3室1厅 137平米 东北 精装 低楼层 共17层 2003年建,36人关注 9天前发布,https://example.com/house_155,大新路小区
